epoch,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,2.2706578330993654,0.23766666666666666,2.206624922180176,0.4148,-0.17713333333333334
2,1.8375299015045166,0.49566666666666664,1.296489931678772,0.5991,-0.10343333333333332
3,0.9123715117772421,0.7003333333333334,0.561638480758667,0.8205,-0.12016666666666664
4,0.5562271920045216,0.8166666666666667,0.49306653628349306,0.8348,-0.018133333333333335
5,0.3771108322143555,0.8813333333333333,0.36934230682849883,0.8909,-0.009566666666666723
6,0.3097227058410644,0.8993333333333333,0.32624789897203443,0.9042,-0.004866666666666686
7,0.25149618613719943,0.922,0.27788531867265703,0.9186,0.0034000000000000696
8,0.20361304622888565,0.935,0.22996810033917428,0.9306,0.0044000000000000705
9,0.19952393035093943,0.9356666666666666,0.24294299691617488,0.9298,0.005866666666666687
10,0.16928246819972992,0.9486666666666667,0.1896370174482465,0.9421,0.00656666666666661
11,0.14761197785536448,0.954,0.23365851995944978,0.9328,0.021199999999999997
12,0.12333126952250799,0.966,0.17502587379813195,0.9471,0.018899999999999917
13,0.11511547390619914,0.964,0.17596452760994435,0.9458,0.018199999999999994
14,0.10330906053384145,0.9696666666666667,0.16780714594721793,0.9505,0.019166666666666665
15,0.09372627548376719,0.9746666666666667,0.16439212152808905,0.9498,0.024866666666666704
16,0.081738598326842,0.975,0.15137795470431448,0.9541,0.02090000000000003
17,0.07532853988806407,0.9793333333333333,0.14771680032238363,0.9549,0.024433333333333307
18,0.06471511032183964,0.9813333333333333,0.15076742604821922,0.9572,0.02413333333333323
19,0.05703798552354177,0.9826666666666667,0.17279722257107497,0.9447,0.037966666666666704
20,0.05396165772279104,0.9856666666666667,0.15779130125306548,0.9547,0.030966666666666698
21,0.04549307556947072,0.9873333333333333,0.1374208632376045,0.9597,0.027633333333333288
22,0.04050304784377416,0.991,0.15477710207551718,0.9547,0.0363
23,0.03939005347589652,0.9893333333333333,0.13748853443153203,0.9601,0.029233333333333333
24,0.03212652666866779,0.993,0.13462210399936886,0.9616,0.031399999999999983
25,0.03183324757218361,0.9923333333333333,0.1475849264013581,0.9569,0.03543333333333332
26,0.02497277479246259,0.997,0.1336865089193918,0.9636,0.033399999999999985
27,0.022995437022298573,0.997,0.14025506059210746,0.9626,0.034399999999999986
28,0.022555466500110925,0.9963333333333333,0.1357442592184525,0.9635,0.03283333333333327
29,0.016638100958118837,0.9983333333333333,0.14279105267487466,0.9611,0.03723333333333334
30,0.017761984631419182,0.9976666666666667,0.14258269664421677,0.9599,0.037766666666666726
31,0.014521592055757841,0.9986666666666667,0.14488450544122605,0.9618,0.036866666666666714
32,0.013469325100382169,0.9983333333333333,0.14329391753976234,0.9637,0.034633333333333294
33,0.01198535517603159,0.9986666666666667,0.14113574600894935,0.963,0.035666666666666735
34,0.009783801467468342,0.9996666666666667,0.14551660338009242,0.9625,0.03716666666666668
35,0.009228556841611862,0.9996666666666667,0.1451379125572741,0.9641,0.035566666666666746
36,0.008695986891786257,0.9993333333333333,0.14879956414548215,0.9632,0.03613333333333335
37,0.008895539224147797,0.999,0.35869813632965086,0.9189,0.08009999999999995
38,0.09357175649578373,0.987,0.1276682988521643,0.9661,0.02090000000000003
39,0.012618041099359592,0.9986666666666667,0.13327498477594926,0.9644,0.03426666666666667
40,0.009691291836400827,0.9996666666666667,0.1383523901441833,0.9627,0.0369666666666667
41,0.00878990562260151,0.999,0.1406225494601298,0.9648,0.03420000000000001
42,0.007195749574651321,0.9996666666666667,0.1439077757234103,0.9644,0.03526666666666667
43,0.006344054454316695,0.9996666666666667,0.14315120685818838,0.9647,0.0349666666666667
44,0.005555410280823707,0.9996666666666667,0.14598842375376261,0.9653,0.034366666666666656
45,0.005169084832072258,0.9996666666666667,0.1468597137781675,0.965,0.034666666666666734
46,0.004466992779324452,1.0,0.14956820987216196,0.9641,0.03590000000000004
47,0.004211770381157597,1.0,0.15115297541097972,0.9644,0.035599999999999965
48,0.003768479201942682,1.0,0.16709113003584208,0.9595,0.04049999999999998
49,0.0038240860303243003,1.0,0.1536128927317419,0.9645,0.035499999999999976
50,0.003400753177702427,1.0,0.1534706365947146,0.9644,0.035599999999999965
